listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
20122292,"One BR in a 2 BR apt, cosy & well located-Astoria",38050027,Antonio,Queens,Ditmars Steinway,112,1,8/24/2017,0.75,3,4.0
15008306,Home Under Hellsgate Bridge,94555153,Lucy,Queens,Ditmars Steinway,87,2,7/23/2017,0.72,0,4.0
19207857,Modern 2 Bed. - 10 Min. to Midtown Manhattan!,132714678,Ed,Queens,Ditmars Steinway,130,7,8/27/2017,2.28,333,4.0
18946376,"Small cute bedroom in Astoria, Queens/LIC",22899212,Carmen,Queens,Ditmars Steinway,35,1,9/2/2017,1.0,0,4.0
4772857,"lrge queen size room,newly decorat",24597265,Freda,Queens,Ditmars Steinway,60,3,6/18/2017,0.18,321,4.0
13331735,Discover  NYC from Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,100,22,9/24/2017,1.44,347,4.0
13491197,"Beautiful, sun filled room in newly renovated apt",10645488,Su,Queens,Ditmars Steinway,85,5,7/31/2017,0.41,283,4.0
19477007,"Modern, Spacious Bedroom Near LGA- King Bed",17198463,Ana,Queens,Ditmars Steinway,80,8,9/24/2017,2.7,85,4.0
7679091,Cozy home 5 mins from LGA AIRPORT,40326136,Kamal,Queens,Ditmars Steinway,159,25,9/3/2017,0.97,365,4.0
7418871,"1 Bdrm available close to LGA.  Shower/tub, Cat.",38862694,Sarah,Queens,Ditmars Steinway,65,14,9/17/2017,1.11,343,4.0
20151455,CHARMING ROOM,139357580,Shuly,Queens,Ditmars Steinway,40,13,9/13/2017,6.39,315,4.0
9452237,2 BED STEP TO THE TRAIN,5855145,Edward,Queens,Ditmars Steinway,130,27,6/30/2017,1.22,336,4.0
13492036,"Beautiful 1 bedroom in Astoria,Queens",77325010,Petros,Queens,Ditmars Steinway,75,1,7/31/2016,0.07,0,4.0
2440357,"New construction, close to subway",12474702,Andrew,Queens,Ditmars Steinway,180,1,12/16/2015,0.05,0,4.0
4211510,Simple Astoria Room 20minToManhattan,1172202,Funda,Queens,Ditmars Steinway,50,67,9/5/2017,1.92,120,4.0
4934421,Awesome NYC,25422856,Gerard,Queens,Ditmars Steinway,65,4,12/23/2015,0.14,365,4.0
6441936,Clean and Comfortable Home 15 mins to Central Park,15379575,Jim,Queens,Ditmars Steinway,84,22,8/1/2017,0.87,67,4.0
2051499,Elegant 1 Bed.-10 min to Manhattan,10513282,Daniel,Queens,Ditmars Steinway,115,29,9/17/2017,0.63,353,4.0
