AirBnB_Listings_Table_NYC
Borough_ID,Borough,Price,Min_Number_Nights_Booked,Total_Reviews,Reviews_Per_Month,Number_of_Listings,Annual_Availability_(Days)
1,Bronx,45,2,6,3.83,1,0
1,Bronx,100,1,0,,1,148
1,Bronx,66,3,1,1,1,132
1,Bronx,30,2,7,0.56,3,89
1,Bronx,60,3,14,2.78,4,13
1,Bronx,40,3,121,1.4,5,365
1,Bronx,40,1,1,0.11,1,0
1,Bronx,45,3,9,2.16,4,23
1,Bronx,65,3,2,2,1,15
1,Bronx,1,1,3,1.88,1,352
1,Bronx,45,1,34,2.17,1,75
1,Bronx,149,3,27,1.23,1,298
1,Bronx,40,2,13,0.16,5,365
1,Bronx,48,2,17,1.33,3,89
1,Bronx,80,2,0,,2,357
1,Bronx,60,2,1,1,1,172
1,Bronx,40,2,34,0.46,5,364
1,Bronx,750,2,0,,1,350
1,Bronx,195,5,1,0.03,1,0
1,Bronx,48,1,4,1.62,1,331
1,Bronx,50,2,9,0.71,3,364
1,Bronx,40,2,20,4.41,4,10
1,Bronx,88,1,68,3.37,1,153
1,Bronx,50,1,8,0.84,2,359
1,Bronx,145,1,0,,3,166
1,Bronx,32,2,0,,2,332
1,Bronx,40,5,0,,1,184
1,Bronx,91,2,5,0.4,2,363
1,Bronx,100,1,1,0.42,1,0
1,Bronx,0,2,3,3,2,49
1,Bronx,50,2,6,0.43,3,167
1,Bronx,50,2,23,0.7,2,69
1,Bronx,150,1,0,,1,364
1,Bronx,150,2,3,0.33,3,174
1,Bronx,80,3,0,,3,174
1,Bronx,69,2,70,2.77,1,336
1,Bronx,52,1,126,6.29,1,278
1,Bronx,89,3,24,3.03,1,300
1,Bronx,50,1,15,6,1,84
1,Bronx,80,2,4,0.15,1,364
1,Bronx,45,1,1,1,1,61
1,Bronx,65,1,1,0.46,5,90
1,Bronx,55,20,0,,1,180
1,Bronx,35,5,3,0.61,3,169
1,Bronx,99,1,0,,3,179
1,Bronx,99,2,29,4.86,1,239
1,Bronx,200,1,0,,3,263
1,Bronx,70,1,2,0.24,1,274
1,Bronx,47,2,61,2.85,2,325
